TOP-50 most popular file extensions in the system
Files without extension are marked as [no_extension]

+----+------------------+------------+----------------+------------------+---------------+
| №  | розширення       | кіл-ть     | об'єм в Б      | % від кількості  | % від об'єму  |
+----+------------------+------------+----------------+------------------+---------------+
| 1  | [no_extension]   | 265242     | 36156269663    | 19,72            | 8,86          |
| 2  | dll              | 143256     | 78361555092    | 10,65            | 19,20         |
| 3  | html             | 95078      | 4554674143     | 7,07             | 1,12          |
| 4  | json             | 58663      | 1114668554     | 4,36             | 0,27          |
| 5  | png              | 54008      | 1015983146     | 4,02             | 0,25          |
| 6  | xml              | 48292      | 4870328792     | 3,59             | 1,19          |
| 7  | js               | 43782      | 2448847264     | 3,26             | 0,60          |
| 8  | manifest         | 40391      | 69931850       | 3,00             | 0,02          |
| 9  | py               | 30786      | 396123529      | 2,29             | 0,10          |
| 10 | h                | 23483      | 1358511722     | 1,75             | 0,33          |
| 11 | pyi              | 22654      | 58522553       | 1,68             | 0,01          |
| 12 | java             | 20210      | 229481100      | 1,50             | 0,06          |
| 13 | mui              | 19388      | 492444219      | 1,44             | 0,12          |
| 14 | cat              | 18930      | 741915446      | 1,41             | 0,18          |
| 15 | pyc              | 15909      | 137777683      | 1,18             | 0,03          |
| 16 | xnb              | 15856      | 242635264      | 1,18             | 0,06          |
| 17 | svg              | 15624      | 610887650      | 1,16             | 0,15          |
| 18 | log              | 14675      | 1749402703     | 1,09             | 0,43          |
| 19 | webp             | 14322      | 694988161      | 1,06             | 0,17          |
| 20 | exe              | 12380      | 25279328221    | 0,92             | 6,19          |
| 21 | txt              | 11233      | 679190881      | 0,84             | 0,17          |
| 22 | bin              | 9680       | 2970778105     | 0,72             | 0,73          |
| 23 | jpeg             | 9678       | 873033158      | 0,72             | 0,21          |
| 24 | ts               | 8821       | 58066878       | 0,66             | 0,01          |
| 25 | jar              | 8594       | 10199810963    | 0,64             | 2,50          |
| 26 | css              | 8539       | 365613021      | 0,63             | 0,09          |
| 27 | lib              | 8277       | 14485710827    | 0,62             | 3,55          |
| 28 | php              | 7483       | 62563954       | 0,56             | 0,02          |
| 29 | mum              | 6452       | 22818736       | 0,48             | 0,01          |
| 30 | sql              | 6411       | 95710978       | 0,48             | 0,02          |
| 31 | md               | 6326       | 35960889       | 0,47             | 0,01          |
| 32 | beam             | 6228       | 159046716      | 0,46             | 0,04          |
| 33 | mo               | 5681       | 196304174      | 0,42             | 0,05          |
| 34 | _                | 5360       | 0              | 0,40             | 0,00          |
| 35 | cpp              | 5061       | 57166151       | 0,38             | 0,01          |
| 36 | sha1             | 4987       | 200884         | 0,37             | 0,00          |
| 37 | rst              | 4864       | 14818924       | 0,36             | 0,00          |
| 38 | cs               | 4305       | 9157889        | 0,32             | 0,00          |
| 39 | cdf-ms           | 4270       | 7240580        | 0,32             | 0,00          |
| 40 | odlgz            | 4264       | 45893742       | 0,32             | 0,01          |
| 41 | idl              | 4114       | 133981768      | 0,31             | 0,03          |
| 42 | xaml             | 4050       | 33197964       | 0,30             | 0,01          |
| 43 | map              | 3936       | 238398035      | 0,29             | 0,06          |
| 44 | res              | 3700       | 19343265       | 0,28             | 0,00          |
| 45 | dat              | 3542       | 2346686725     | 0,26             | 0,58          |
| 46 | pom              | 3411       | 31746899       | 0,25             | 0,01          |
| 47 | cmake            | 3297       | 10872860       | 0,25             | 0,00          |
| 48 | inf              | 3260       | 258364436      | 0,24             | 0,06          |
| 49 | lock             | 3198       | 1539289        | 0,24             | 0,00          |
| 50 | sys              | 3087       | 17376957788    | 0,23             | 4,26          |
+----+------------------+------------+----------------+------------------+---------------+
| TOTAL:                  | 1345049    | 408090764969   | 100.00           | 100.00        |
+----+------------------+------------+----------------+------------------+---------------+
